Date,Actual,Predicted,Difference
2024-08-23,64094.36,58607.15,5487.21
2024-08-24,64178.99,59443.98,4735.02
2024-08-25,64333.54,60484.81,3848.73
2024-08-26,62880.66,61521.17,1359.49
2024-08-27,59504.13,62165.55,-2661.42
2024-08-28,59027.62,61943.41,-2915.79
2024-08-29,59388.18,61178.08,-1789.90
2024-08-30,59119.48,60245.96,-1126.48
2024-08-31,58969.90,59297.47,-327.57
2024-09-01,57325.49,58453.44,-1127.95
2024-09-02,59112.48,57546.79,1565.69
2024-09-03,57431.02,57025.86,405.16
2024-09-04,57971.54,56550.79,1420.75
2024-09-05,56160.49,56279.42,-118.93
2024-09-06,53948.75,55903.74,-1954.98
2024-09-07,54139.69,55211.68,-1071.99
2024-09-08,54841.57,54484.98,356.59
2024-09-09,57019.54,53951.36,3068.18
2024-09-10,57648.71,53938.33,3710.38
2024-09-11,57343.17,54333.46,3009.72
2024-09-12,58127.01,54884.58,3242.43
2024-09-13,60571.30,55581.98,4989.33
2024-09-14,60005.12,56641.52,3363.59
2024-09-15,59182.84,57668.56,1514.27
2024-09-16,58192.51,58402.86,-210.36
2024-09-17,60308.54,58697.57,1610.97
2024-09-18,61649.68,59006.22,2643.46
2024-09-19,62940.46,59454.99,3485.47
2024-09-20,63192.98,60102.55,3090.43
2024-09-21,63394.84,60795.68,2599.16
2024-09-22,63648.71,61433.44,2215.27
2024-09-23,63329.80,61970.18,1359.62
2024-09-24,64301.97,62300.44,2001.54
2024-09-25,63143.14,62601.57,541.57
2024-09-26,65181.02,62635.34,2545.68
2024-09-27,65790.66,62825.06,2965.60
2024-09-28,65887.65,63149.22,2738.43
2024-09-29,65635.30,63513.10,2122.20
2024-09-30,63329.50,63799.06,-469.55
2024-10-01,60837.01,63623.46,-2786.45
2024-10-02,60632.79,62819.12,-2186.33
2024-10-03,60759.40,61744.95,-985.55
2024-10-04,62067.48,60688.58,1378.90
2024-10-05,62089.95,60004.36,2085.59
2024-10-06,62818.95,59643.04,3175.91
2024-10-07,62236.66,59656.04,2580.62
2024-10-08,62131.97,59810.68,2321.29
2024-10-09,60582.10,60031.27,550.83
